test_num,num_features,neighbours,distance_metric,scaled,accuracy,train_t,test_t
1,1,5,manhattan,true,0.039,4.539,1.324
1,1,10,manhattan,true,0.040,2.267,0.889
1,1,15,manhattan,true,0.040,2.180,1.140
1,1,20,manhattan,true,0.041,2.175,1.390
1,1,25,manhattan,true,0.041,2.062,1.586
1,1,30,manhattan,true,0.041,2.145,1.879
1,1,35,manhattan,true,0.041,2.085,2.101
1,1,40,manhattan,true,0.042,2.124,2.660
1,1,45,manhattan,true,0.042,2.214,2.545
1,1,50,manhattan,true,0.042,2.051,2.909
2,10,5,euclidean,false,0.060,1.691,1.662
2,10,10,euclidean,false,0.062,1.660,2.006
2,10,15,euclidean,false,0.063,1.726,2.699
2,10,20,euclidean,false,0.063,1.718,2.932
2,10,25,euclidean,false,0.063,1.653,3.235
2,10,30,euclidean,false,0.062,1.691,3.664
2,10,35,euclidean,false,0.062,1.703,4.078
2,10,40,euclidean,false,0.062,1.712,4.397
2,10,45,euclidean,false,0.062,1.677,4.798
2,10,50,euclidean,false,0.062,1.656,4.833
2,10,5,manhattan,false,0.060,1.623,1.816
2,10,10,manhattan,false,0.062,1.602,2.238
2,10,15,manhattan,false,0.063,1.652,2.787
2,10,20,manhattan,false,0.063,1.652,3.212
2,10,25,manhattan,false,0.063,1.641,3.614
2,10,30,manhattan,false,0.062,1.712,4.057
2,10,35,manhattan,false,0.062,1.694,4.384
2,10,40,manhattan,false,0.063,2.348,7.310
2,10,45,manhattan,false,0.063,1.658,5.005
2,10,50,manhattan,false,0.063,1.631,5.531
2,10,5,euclidean,true,0.060,1.794,1.614
2,10,10,euclidean,true,0.062,1.640,1.981
2,10,15,euclidean,true,0.063,1.672,3.093
2,10,20,euclidean,true,0.063,1.944,3.316
2,10,25,euclidean,true,0.063,2.138,3.628
2,10,30,euclidean,true,0.062,1.718,3.575
2,10,35,euclidean,true,0.062,1.883,3.999
2,10,40,euclidean,true,0.062,1.714,4.349
2,10,45,euclidean,true,0.062,1.680,4.794
2,10,50,euclidean,true,0.062,1.653,4.974
2,10,5,manhattan,true,0.060,1.670,2.015
2,10,10,manhattan,true,0.062,1.622,2.394
2,10,15,manhattan,true,0.063,1.635,2.633
2,10,20,manhattan,true,0.063,1.613,3.103
2,10,25,manhattan,true,0.063,1.773,4.164
2,10,30,manhattan,true,0.062,1.711,4.226
2,10,35,manhattan,true,0.062,1.877,4.876
2,10,40,manhattan,true,0.063,1.677,4.815
2,10,45,manhattan,true,0.063,1.688,5.479
2,10,50,manhattan,true,0.063,1.779,6.174
2,7,5,euclidean,false,0.060,1.918,1.798
2,7,10,euclidean,false,0.062,1.468,1.707
2,7,15,euclidean,false,0.063,1.478,2.010
2,7,20,euclidean,false,0.063,1.427,2.390
2,7,25,euclidean,false,0.063,1.473,2.673
2,7,30,euclidean,false,0.062,1.554,3.012
2,7,35,euclidean,false,0.062,1.417,3.401
2,7,40,euclidean,false,0.062,1.463,3.878
2,7,45,euclidean,false,0.062,1.434,4.004
2,7,50,euclidean,false,0.062,1.439,4.587
2,7,5,manhattan,false,0.060,1.485,1.628
2,7,10,manhattan,false,0.062,2.096,2.240
2,7,15,manhattan,false,0.063,1.502,2.369
2,7,20,manhattan,false,0.063,1.506,2.753
2,7,25,manhattan,false,0.063,1.656,3.775
2,7,30,manhattan,false,0.063,1.708,5.440
2,7,35,manhattan,false,0.062,1.492,3.867
2,7,40,manhattan,false,0.062,1.578,5.627
2,7,45,manhattan,false,0.063,1.410,4.550
2,7,50,manhattan,false,0.062,1.406,5.016
2,7,5,euclidean,true,0.060,1.420,1.383
2,7,10,euclidean,true,0.062,1.402,1.673
2,7,15,euclidean,true,0.063,1.436,2.047
2,7,20,euclidean,true,0.063,1.440,2.478
2,7,25,euclidean,true,0.063,1.471,2.820
2,7,30,euclidean,true,0.062,1.448,3.019
2,7,35,euclidean,true,0.062,1.450,3.404
2,7,40,euclidean,true,0.062,1.447,4.463
2,7,45,euclidean,true,0.062,1.416,4.044
2,7,50,euclidean,true,0.062,1.432,4.387
2,7,5,manhattan,true,0.060,1.414,1.528
2,7,10,manhattan,true,0.062,1.562,1.911
2,7,15,manhattan,true,0.063,1.430,2.305
2,7,20,manhattan,true,0.063,1.414,2.839
2,7,25,manhattan,true,0.063,1.429,2.995
2,7,30,manhattan,true,0.063,1.427,3.370
2,7,35,manhattan,true,0.062,1.395,3.770
2,7,40,manhattan,true,0.062,1.496,4.375
2,7,45,manhattan,true,0.063,1.418,4.632
2,7,50,manhattan,true,0.062,1.414,5.144
2,4,5,euclidean,false,0.056,1.341,0.974
2,4,10,euclidean,false,0.058,1.362,1.251
2,4,15,euclidean,false,0.058,1.352,1.525
2,4,20,euclidean,false,0.059,1.354,1.791
2,4,25,euclidean,false,0.058,1.343,2.107
2,4,30,euclidean,false,0.059,1.330,2.318
2,4,35,euclidean,false,0.059,1.377,2.845
2,4,40,euclidean,false,0.059,2.133,8.160
2,4,45,euclidean,false,0.059,1.343,3.406
2,4,50,euclidean,false,0.059,1.722,5.723
2,4,5,manhattan,false,0.056,1.337,1.044
2,4,10,manhattan,false,0.058,1.318,1.348
2,4,15,manhattan,false,0.059,1.323,1.638
2,4,20,manhattan,false,0.058,1.356,1.970
2,4,25,manhattan,false,0.059,1.881,4.607
2,4,30,manhattan,false,0.059,1.391,2.743
2,4,35,manhattan,false,0.059,1.322,2.810
2,4,40,manhattan,false,0.059,1.313,3.105
2,4,45,manhattan,false,0.059,1.321,3.703
2,4,50,manhattan,false,0.059,1.318,4.297
2,4,5,euclidean,true,0.056,1.340,0.991
2,4,10,euclidean,true,0.058,1.344,1.252
2,4,15,euclidean,true,0.058,1.368,1.623
2,4,20,euclidean,true,0.059,1.353,1.939
2,4,25,euclidean,true,0.058,1.453,2.106
2,4,30,euclidean,true,0.059,1.360,2.425
2,4,35,euclidean,true,0.059,1.351,2.703
2,4,40,euclidean,true,0.059,1.335,2.885
2,4,45,euclidean,true,0.059,1.331,3.226
2,4,50,euclidean,true,0.059,1.340,3.933
2,4,5,manhattan,true,0.056,1.301,1.053
2,4,10,manhattan,true,0.058,1.464,1.394
2,4,15,manhattan,true,0.059,1.323,1.663
2,4,20,manhattan,true,0.058,1.365,1.996
2,4,25,manhattan,true,0.059,1.342,2.267
2,4,30,manhattan,true,0.059,1.676,3.522
2,4,35,manhattan,true,0.059,1.800,3.129
2,4,40,manhattan,true,0.059,1.417,3.695
2,4,45,manhattan,true,0.059,1.498,3.705
2,4,50,manhattan,true,0.059,1.312,4.130
2,1,5,euclidean,false,0.039,2.330,0.929
2,1,10,euclidean,false,0.040,3.469,1.442
2,1,15,euclidean,false,0.040,2.690,1.145
2,1,20,euclidean,false,0.041,2.588,1.968
2,1,25,euclidean,false,0.041,2.738,1.584
2,1,30,euclidean,false,0.041,2.824,2.512
2,1,35,euclidean,false,0.041,2.381,3.402
2,1,40,euclidean,false,0.042,2.997,3.847
2,1,45,euclidean,false,0.042,2.779,4.973
2,1,50,euclidean,false,0.042,2.571,4.144
2,1,5,manhattan,false,0.039,2.366,0.712
2,1,10,manhattan,false,0.040,2.366,1.098
2,1,15,manhattan,false,0.040,3.168,1.662
2,1,20,manhattan,false,0.041,2.534,1.882
2,1,25,manhattan,false,0.041,2.997,3.060
2,1,30,manhattan,false,0.041,3.158,2.972
2,1,35,manhattan,false,0.041,2.369,2.583
2,1,40,manhattan,false,0.042,3.379,3.914
2,1,45,manhattan,false,0.042,2.975,4.565
2,1,50,manhattan,false,0.042,2.420,4.003
2,1,5,euclidean,true,0.039,2.452,0.694
2,1,10,euclidean,true,0.040,2.372,1.081
2,1,15,euclidean,true,0.040,2.350,1.288
2,1,20,euclidean,true,0.041,2.297,1.790
2,1,25,euclidean,true,0.041,2.361,1.838
2,1,30,euclidean,true,0.041,2.560,2.928
2,1,35,euclidean,true,0.041,2.721,2.753
2,1,40,euclidean,true,0.042,2.548,3.444
2,1,45,euclidean,true,0.042,2.921,4.914
2,1,50,euclidean,true,0.042,2.951,4.203
2,1,5,manhattan,true,0.039,2.446,0.779
2,1,10,manhattan,true,0.040,2.266,1.354
2,1,15,manhattan,true,0.040,2.416,1.690
2,1,20,manhattan,true,0.041,2.437,2.013
2,1,25,manhattan,true,0.041,2.352,2.193
2,1,30,manhattan,true,0.041,2.359,2.130
2,1,35,manhattan,true,0.041,2.474,3.270
2,1,40,manhattan,true,0.042,2.515,3.984
