test_num,num_features,num_trees,scaled,accuracy,train_t,test_t
4,7,20,true,0.639,1576.306,54.664
4,4,5,false,0.537,444.514,15.188
4,4,5,true,0.539,439.060,15.174
4,4,10,false,0.558,886.702,29.593
4,4,10,true,0.555,880.054,29.968
4,4,15,false,0.562,1283.655,43.819
4,4,15,true,0.561,1262.893,44.357
4,4,20,false,0.565,1768.330,60.396
4,4,20,true,0.565,1568.369,54.892
4,1,5,false,0.357,252.993,14.277
4,1,5,true,0.356,237.711,13.272
4,1,10,false,0.356,627.696,32.152
4,1,10,true,0.357,595.207,30.033
4,1,15,false,0.354,931.706,48.381
4,1,15,true,0.355,1021.592,50.133
4,1,20,false,0.353,1254.117,62.976
4,1,20,true,0.353,1319.661,65.171
5,10,5,false,0.698,507.713,15.527
5,10,5,true,0.695,447.722,13.107
5,10,10,false,0.713,961.919,28.089
5,10,10,true,0.714,983.190,27.227
5,10,15,false,0.723,1475.575,42.070
5,10,15,true,0.720,1282.249,37.612
5,10,20,false,0.721,1678.475,49.196
5,10,20,true,0.724,1736.077,51.784
5,7,5,false,0.603,394.112,14.025
5,7,5,true,0.607,382.692,13.697
5,7,10,false,0.623,776.302,27.218
5,7,10,true,0.623,824.811,28.025
5,7,15,false,0.631,1295.092,41.348
5,7,15,true,0.636,1216.799,39.068
5,7,20,false,0.635,1790.805,63.175
5,7,20,true,0.635,1721.971,56.904
5,4,5,false,0.539,384.359,14.402
5,4,5,true,0.539,416.522,14.939
5,4,10,false,0.556,820.593,29.254
5,4,10,true,0.555,878.885,30.868
5,4,15,false,0.563,1291.465,46.307
5,4,15,true,0.562,1299.962,44.924
5,4,20,false,0.567,1453.678,51.119
5,4,20,true,0.565,1210.461,45.373
5,1,5,false,0.357,223.820,12.898
5,1,5,true,0.354,216.679,12.410
5,1,10,false,0.355,443.412,24.657
5,1,10,true,0.358,442.438,24.733
5,1,15,false,0.356,667.468,36.494
5,1,15,true,0.355,705.832,38.845
5,1,20,false,0.355,893.482,49.118
5,1,20,true,0.353,920.440,54.849
