test_num,num_features,num_hidden_layers,num_neurons_per_layer,scaled,accuracy,train_t,test_t
3,4,15,75,true,0.400,38919.528,46.211
3,4,15,90,false,0.408,48277.074,52.180
3,4,15,90,true,0.411,39092.307,50.272
3,4,15,105,false,0.414,49741.266,61.062
3,4,15,105,true,0.416,49226.481,60.646
3,4,15,120,false,0.456,71817.128,70.771
3,4,15,120,true,0.410,58775.565,74.062
3,4,15,135,false,0.453,63506.639,85.284
3,4,15,135,true,0.414,66190.778,79.891
3,1,20,20,false,0.391,9352.050,6.691
3,1,20,20,true,0.383,6889.984,7.340
3,1,20,40,false,0.404,32447.737,26.567
3,1,20,40,true,0.394,18632.037,23.043
3,1,20,60,false,0.409,29576.126,36.338
3,1,20,60,true,0.419,35556.433,36.478
3,1,20,80,false,0.428,44204.647,71.233
3,1,20,80,true,0.441,54301.320,53.429
3,1,20,100,false,0.430,58212.540,75.641
3,1,20,100,true,0.404,43553.624,66.646
3,1,20,120,false,0.433,89094.436,100.300
3,1,20,120,true,0.449,91335.363,99.490
3,1,20,140,false,0.376,77745.180,92.549
3,1,20,140,true,0.426,59387.656,94.125
3,1,20,160,false,0.435,84321.455,115.200
3,1,20,160,true,0.444,98643.417,134.057
3,1,20,180,false,0.432,117456.078,156.453
3,1,20,180,true,0.449,151209.833,156.928
4,10,5,5,false,0.374,7397.289,2.322
4,10,5,5,true,0.370,4474.970,2.412
4,10,5,10,false,0.330,5339.168,2.577
4,10,5,10,true,0.375,6084.376,2.731
4,10,5,15,false,0.374,6809.701,2.673
4,10,5,15,true,0.373,6500.344,2.737
4,10,5,20,false,0.311,4882.772,3.379
4,10,5,20,true,0.347,5148.073,3.373
4,10,5,25,false,0.313,6778.951,3.752
4,10,5,25,true,0.327,7331.332,3.909
4,10,5,30,false,0.332,6743.429,3.904
4,10,5,30,true,0.333,6775.978,3.920
4,10,5,35,false,0.290,5622.677,7.931
4,10,5,35,true,0.295,6002.342,8.492
4,10,5,40,false,0.268,10797.222,6.951
4,10,5,40,true,0.301,14757.512,7.056
4,10,5,45,false,0.284,11565.315,7.190
4,10,5,45,true,0.273,9942.452,8.900
4,7,10,10,false,0.370,7820.261,3.119
4,7,10,10,true,0.369,6507.003,3.061
4,7,10,20,false,0.362,7812.093,4.353
4,7,10,20,true,0.378,6360.422,4.031
4,7,10,30,false,0.359,7371.404,5.692
4,7,10,30,true,0.372,8051.815,5.530
4,7,10,40,false,0.346,14614.939,11.110
4,7,10,40,true,0.312,13724.070,9.764
4,7,10,50,false,0.308,19055.545,12.727
4,7,10,50,true,0.321,14521.047,12.783
4,7,10,60,false,0.351,18175.896,21.132
4,7,10,60,true,0.321,14400.993,14.481
4,7,10,70,false,0.324,17948.517,17.577
4,7,10,70,true,0.357,17368.724,15.364
4,7,10,80,false,0.301,19442.278,17.758
4,7,10,80,true,0.290,20643.502,22.694
4,7,10,90,false,0.316,27747.268,24.699
4,7,10,90,true,0.339,30822.659,29.813
4,4,15,15,false,0.386,7970.391,4.872
4,4,15,15,true,0.364,8650.394,5.648
4,4,15,30,false,0.388,10753.655,10.185
4,4,15,30,true,0.379,8770.012,8.026
4,4,15,45,false,0.408,32651.814,31.083
4,4,15,45,true,0.417,22511.000,22.771
4,4,15,60,false,0.432,35301.344,32.220
4,4,15,60,true,0.388,30040.383,26.227
4,4,15,75,false,0.390,32195.191,47.621
4,4,15,75,true,0.398,33624.232,34.062
4,4,15,90,false,0.420,52400.758,57.414
4,4,15,90,true,0.380,47557.479,60.060
4,4,15,105,false,0.436,47610.835,57.829
4,4,15,105,true,0.448,58362.716,53.286
4,4,15,120,false,0.438,58972.629,62.462
4,4,15,120,true,0.437,50607.667,66.364
4,4,15,135,false,0.452,56699.007,78.684
4,4,15,135,true,0.458,62581.550,79.055
4,1,20,20,false,0.396,11146.445,6.225
4,1,20,20,true,0.374,7308.056,6.293
4,1,20,40,false,0.377,22266.395,24.119
4,1,20,40,true,0.381,19161.985,17.856
4,1,20,60,false,0.440,31066.620,23.531
4,1,20,60,true,0.409,34445.837,24.013
4,1,20,80,false,0.406,41396.179,44.617
4,1,20,80,true,0.403,36081.214,41.092
4,1,20,100,false,0.422,38275.019,52.912
4,1,20,100,true,0.434,38055.973,51.862
4,1,20,120,false,0.422,72895.936,88.298
4,1,20,120,true,0.410,52474.281,74.780
4,1,20,140,false,0.410,66986.458,94.449
4,1,20,140,true,0.379,75503.206,91.509
4,1,20,160,false,0.411,71139.942,102.707
4,1,20,160,true,0.449,69718.869,105.831
4,1,20,180,false,0.412,126451.173,125.314
4,1,20,180,true,0.422,112147.993,144.719
5,10,5,5,false,0.372,5177.356,2.025
5,10,5,5,true,0.379,5001.301,2.000
5,10,5,10,false,0.369,4326.673,2.262
5,10,5,10,true,0.343,4996.731,2.236
5,10,5,15,false,0.365,4459.099,2.562
5,10,5,15,true,0.367,5159.255,2.562
5,10,5,20,false,0.310,4432.691,2.819
5,10,5,20,true,0.368,5562.067,2.894
5,10,5,25,false,0.352,6214.002,3.239
5,10,5,25,true,0.347,6323.898,3.217
5,10,5,30,false,0.317,5419.898,3.584
5,10,5,30,true,0.341,4746.085,3.521
5,10,5,35,false,0.311,7120.324,5.570
5,10,5,35,true,0.352,7178.437,5.377
5,10,5,40,false,0.346,10226.349,6.960
5,10,5,40,true,0.292,9361.111,6.280
5,10,5,45,false,0.262,10601.364,7.084
5,10,5,45,true,0.330,13877.964,6.919
5,7,10,10,false,0.375,6635.274,2.835
5,7,10,10,true,0.370,5807.435,3.127
5,7,10,20,false,0.387,7371.022,4.022
5,7,10,20,true,0.383,6545.644,4.000
5,7,10,30,false,0.369,8104.200,5.563
5,7,10,30,true,0.377,8739.835,5.568
5,7,10,40,false,0.327,13595.119,10.490
5,7,10,40,true,0.344,14124.225,11.618
5,7,10,50,false,0.322,15900.996,12.545
5,7,10,50,true,0.347,18584.025,11.963
5,7,10,60,false,0.308,15309.243,16.702
5,7,10,60,true,0.309,16444.295,14.222
5,7,10,70,false,0.318,18795.503,16.310
5,7,10,70,true,0.341,22051.096,16.087
5,7,10,80,false,0.357,20476.019,20.199
5,7,10,80,true,0.357,21924.634,19.091
5,7,10,90,false,0.341,24073.145,22.443
5,7,10,90,true,0.310,23996.875,23.676
5,4,15,15,false,0.390,7030.900,4.278
5,4,15,15,true,0.384,5171.000,4.300
5,4,15,30,false,0.379,8561.110,7.436
