28858,10,26
Unknown,POP3,HTTP,MySQL,POPS,BitTorrent,IMAPS,Steam,ICMP,RDP,SSL,SSH,Facebook,Twitter,Dropbox,Skype,Google,Apple,OpenVPN,Amazon,QUIC,Starcraft,Teredo,Office365,Cloudflare,MS_OneDrive,
source_ip,source_port,dest_ip,dest_port,IP4_proto,f_dur,delta_bytes,avg_ia,min_ia,max_ia,avg_len,min_len,max_len,pkt_vel,byte_vel,application,app_num
147.232.181.0,1194,178.40.7.191,11019,UDP,3206228.000000,1392,320622.800000,3.000000,2031585.000000,139,64,168,3.118930,434.155026,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11020,UDP,2482087.000000,1392,248208.700000,7.000000,2347716.000000,139,64,168,4.028868,560.818376,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11022,UDP,136224.000000,1392,13622.400000,5.000000,67781.000000,139,64,168,73.408504,10218.463707,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11276,UDP,1740542.000000,1204,174054.200000,12.000000,1576381.000000,120,60,168,5.745337,691.738550,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11277,UDP,135908.000000,1392,13590.800000,29.000000,67820.000000,139,64,168,73.579186,10242.222680,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11023,UDP,136287.000000,1392,13628.700000,6.000000,66588.000000,139,64,168,73.374570,10213.740122,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11278,UDP,240701.000000,1392,24070.100000,24.000000,137662.000000,139,64,168,41.545320,5783.108504,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11024,UDP,135493.000000,1392,13549.300000,4.000000,67499.000000,139,64,168,73.804551,10273.593470,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11279,UDP,2981821.000000,1404,298182.100000,3.000000,2571681.000000,140,64,168,3.353655,470.853214,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11025,UDP,2235117.000000,1304,223511.700000,27.000000,2100209.000000,130,64,168,4.474039,583.414649,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11280,UDP,137669.000000,1392,13766.900000,18.000000,69137.000000,139,64,168,72.637994,10111.208769,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11026,UDP,2731341.000000,1404,273134.100000,29.000000,1936715.000000,140,64,168,3.661205,514.033217,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11281,UDP,137672.000000,1392,13767.200000,4.000000,66971.000000,139,64,168,72.636411,10110.988436,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11027,UDP,1987960.000000,1204,198796.000000,32.000000,1821563.000000,120,60,168,5.030282,605.645989,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11282,UDP,139514.000000,1392,13951.400000,30.000000,67677.000000,139,64,168,71.677394,9977.493298,OpenVPN,18
